place,movie_title,rating,year,star_cast
N/A,The Shawshank Redemption,9.3,N/A,N/A
N/A,The Godfather,9.2,N/A,N/A
N/A,The Dark Knight,9.0,N/A,N/A
N/A,The Godfather Part II,9.0,N/A,N/A
N/A,12 Angry Men,9.0,N/A,N/A
N/A,The Lord of the Rings: The Return of the King,9.0,N/A,N/A
N/A,Schindler&apos;s List,9.0,N/A,N/A
N/A,Pulp Fiction,8.9,N/A,N/A
N/A,The Lord of the Rings: The Fellowship of the Ring,8.9,N/A,N/A
N/A,"Il buono, il brutto, il cattivo",8.8,N/A,N/A
N/A,Forrest Gump,8.8,N/A,N/A
N/A,The Lord of the Rings: The Two Towers,8.8,N/A,N/A
N/A,Fight Club,8.8,N/A,N/A
N/A,Inception,8.8,N/A,N/A
N/A,Star Wars: Episode V - The Empire Strikes Back,8.7,N/A,N/A
N/A,The Matrix,8.7,N/A,N/A
N/A,Goodfellas,8.7,N/A,N/A
N/A,One Flew Over the Cuckoo&apos;s Nest,8.7,N/A,N/A
N/A,Interstellar,8.7,N/A,N/A
N/A,Se7en,8.6,N/A,N/A
N/A,It&apos;s a Wonderful Life,8.6,N/A,N/A
N/A,Shichinin no samurai,8.6,N/A,N/A
N/A,The Silence of the Lambs,8.6,N/A,N/A
N/A,Saving Private Ryan,8.6,N/A,N/A
N/A,Cidade de Deus,8.6,N/A,N/A
N/A,The Green Mile,8.6,N/A,N/A
N/A,La vita è bella,8.6,N/A,N/A
N/A,Terminator 2: Judgment Day,8.6,N/A,N/A
N/A,Star Wars,8.6,N/A,N/A
N/A,Back to the Future,8.5,N/A,N/A
N/A,Sen to Chihiro no kamikakushi,8.6,N/A,N/A
N/A,The Pianist,8.5,N/A,N/A
N/A,Gladiator,8.5,N/A,N/A
N/A,Gisaengchung,8.5,N/A,N/A
N/A,Psycho,8.5,N/A,N/A
N/A,The Lion King,8.5,N/A,N/A
N/A,Hotaru no haka,8.5,N/A,N/A
N/A,The Departed,8.5,N/A,N/A
N/A,Whiplash,8.5,N/A,N/A
N/A,American History X,8.5,N/A,N/A
N/A,Seppuku,8.6,N/A,N/A
N/A,The Prestige,8.5,N/A,N/A
N/A,Léon,8.5,N/A,N/A
N/A,Spider-Man: Across the Spider-Verse,8.5,N/A,N/A
N/A,Casablanca,8.5,N/A,N/A
N/A,The Usual Suspects,8.5,N/A,N/A
N/A,Intouchables,8.5,N/A,N/A
N/A,Nuovo Cinema Paradiso,8.5,N/A,N/A
N/A,Modern Times,8.5,N/A,N/A
N/A,Alien,8.5,N/A,N/A
N/A,Rear Window,8.5,N/A,N/A
N/A,C&apos;era una volta il West,8.5,N/A,N/A
N/A,Django Unchained,8.5,N/A,N/A
N/A,Dune: Part Two,8.5,N/A,N/A
N/A,City Lights,8.5,N/A,N/A
N/A,Apocalypse Now,8.4,N/A,N/A
N/A,Memento,8.4,N/A,N/A
N/A,WALL·E,8.4,N/A,N/A
N/A,Raiders of the Lost Ark,8.4,N/A,N/A
N/A,Das Leben der Anderen,8.4,N/A,N/A
N/A,Avengers: Infinity War,8.4,N/A,N/A
N/A,Sunset Blvd.,8.4,N/A,N/A
N/A,Spider-Man: Into the Spider-Verse,8.4,N/A,N/A
N/A,Paths of Glory,8.4,N/A,N/A
N/A,Witness for the Prosecution,8.4,N/A,N/A
N/A,12th Fail,8.8,N/A,N/A
N/A,The Shining,8.4,N/A,N/A
N/A,The Great Dictator,8.4,N/A,N/A
N/A,Aliens,8.4,N/A,N/A
N/A,Inglourious Basterds,8.4,N/A,N/A
N/A,The Dark Knight Rises,8.4,N/A,N/A
N/A,Coco,8.4,N/A,N/A
N/A,Amadeus,8.4,N/A,N/A
N/A,Toy Story,8.3,N/A,N/A
N/A,Oldeuboi,8.3,N/A,N/A
N/A,Avengers: Endgame,8.4,N/A,N/A
N/A,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.3,N/A,N/A
N/A,American Beauty,8.3,N/A,N/A
N/A,Good Will Hunting,8.3,N/A,N/A
N/A,Das Boot,8.4,N/A,N/A
N/A,Braveheart,8.3,N/A,N/A
N/A,Mononoke-hime,8.3,N/A,N/A
N/A,Kimi no Na wa.,8.4,N/A,N/A
N/A,Tengoku to jigoku,8.4,N/A,N/A
N/A,3 Idiots,8.4,N/A,N/A
N/A,Joker,8.3,N/A,N/A
N/A,Once Upon a Time in America,8.3,N/A,N/A
N/A,Singin&apos; in the Rain,8.3,N/A,N/A
N/A,Capharnaüm,8.4,N/A,N/A
N/A,Idi i smotri,8.3,N/A,N/A
N/A,Requiem for a Dream,8.3,N/A,N/A
N/A,Toy Story 3,8.3,N/A,N/A
N/A,Star Wars: Episode VI - Return of the Jedi,8.3,N/A,N/A
N/A,Jagten,8.3,N/A,N/A
N/A,Eternal Sunshine of the Spotless Mind,8.3,N/A,N/A
N/A,Ikiru,8.3,N/A,N/A
N/A,2001: A Space Odyssey,8.3,N/A,N/A
N/A,Reservoir Dogs,8.3,N/A,N/A
N/A,The Apartment,8.3,N/A,N/A
N/A,Lawrence of Arabia,8.3,N/A,N/A
N/A,Incendies,8.3,N/A,N/A
N/A,Scarface,8.3,N/A,N/A
N/A,Double Indemnity,8.3,N/A,N/A
N/A,North by Northwest,8.3,N/A,N/A
N/A,Heat,8.3,N/A,N/A
N/A,Citizen Kane,8.3,N/A,N/A
N/A,M - Eine Stadt sucht einen Mörder,8.3,N/A,N/A
N/A,Full Metal Jacket,8.2,N/A,N/A
N/A,Up,8.3,N/A,N/A
N/A,Vertigo,8.3,N/A,N/A
N/A,Le fabuleux destin d&apos;Amélie Poulain,8.3,N/A,N/A
N/A,Oppenheimer,8.3,N/A,N/A
N/A,A Clockwork Orange,8.2,N/A,N/A
N/A,To Kill a Mockingbird,8.3,N/A,N/A
N/A,Jodaeiye Nader az Simin,8.3,N/A,N/A
N/A,Die Hard,8.2,N/A,N/A
N/A,The Sting,8.3,N/A,N/A
